Source File	Size	loadResources	load	generateSnapshots	load-configure	scan	loadDepInfo	loadInfo	checkR4R4B	generateNarratives	validate	loadLists	checkConformanceResources	checkConformanceResources2	checkConformanceResources3	generateLogicalMaps	validateExpressions	scanForUsageStats	checkURLsUnique	processProvenanceDetails	translate	generate1	generate2	responsesForQuestionnaire	generateLogicals	makeDependencies	generateExampleZip	generateValidationPack	scanProfilesForR5	scanExamplesForR5
fsh-generated/resources/CodeSystem-DocumentationSections.json	1121	1	0	0	0	0	0	0	0	5	0	0	0	0	0	0	0	0	0	0	3	19	20	0	0	0	0	0	0	0
fsh-generated/resources/CodeSystem-ISCO08.json	63870	9	0	0	0	0	0	0	6	107	0	0	0	0	0	0	0	0	0	0	10	558	106	0	0	0	0	31	0	1
fsh-generated/resources/CodeSystem-SGAuthoringPersonaTypes.json	2427	1	0	0	0	0	0	0	0	8	0	0	0	0	0	0	0	0	0	0	4	32	21	0	0	0	0	1	0	0
fsh-generated/resources/CodeSystem-SGAuthoringSkills.json	8811	2	0	0	1	0	0	0	1	15	0	0	0	0	0	0	0	1	0	0	5	113	33	0	0	0	0	4	0	0
fsh-generated/resources/CodeSystem-SGPersonaTypes.json	970	1	0	0	0	0	0	0	0	4	0	0	0	0	0	0	0	0	0	0	3	15	19	0	0	0	0	0	0	1
fsh-generated/resources/CodeSystem-SGTasks.json	3123	1	0	0	0	0	0	0	0	6	0	0	0	0	0	0	0	0	0	0	3	35	22	0	0	0	0	1	0	0
fsh-generated/resources/ConceptMap-CDHIv1Hierarchy.json	21893	6	0	0	0	0	0	0	3	192	0	0	0	0	0	0	0	0	0	0	3	265	65	0	0	0	0	7	0	0
fsh-generated/resources/ConceptMap-CDHIv1toCDHIv2.json	31426	6	0	0	0	0	0	0	3	134	0	0	0	0	0	0	0	0	0	0	8	390	77	0	0	0	0	14	0	0
fsh-generated/resources/ConceptMap-CDHIv2Hierarchy.json	24622	8	0	0	0	0	0	0	3	115	0	0	0	0	0	0	0	0	0	0	3	315	67	0	0	0	0	11	0	1
fsh-generated/resources/ConceptMap-CDSCv1toCDSCv2.json	8708	2	0	0	0	0	0	0	1	29	0	0	0	0	0	0	0	0	0	0	4	95	27	0	0	0	0	2	0	0
fsh-generated/resources/Questionnaire-DAK.DT.IMMZ.D2.DT.BCGQuestionnaire.json	3899	1	0	0	0	0	0	0	0	87	0	0	0	0	0	0	0	0	0	0	4	213	28	0	0	0	0	5	0	0
