"Id","Path","Slice Name","Alias(s)","Label","Min","Max","Must Support?","Is Modifier?","Is Summary?","Type(s)","Short","Definition","Comments","Requirements","Default Value","Meaning When Missing","Fixed Value","Pattern","Example","Minimum Value","Maximum Value","Maximum Length","Binding Strength","Binding Description","Binding Value Set","Code","Slicing Discriminator","Slicing Description","Slicing Ordered","Slicing Rules","Base Path","Base Min","Base Max","Condition(s)","Constraint(s)"
"DAK.publisher.modifierExtension","DAK.publisher.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.publisher.name","DAK.publisher.name","","","",1,1,"","","","string {[]} {[]}
","Publisher Name","Name of the publishing organization","","","","","","","","","",,,,,"",,,,"DAK.publisher.name",1,1,"",""
"DAK.publisher.url","DAK.publisher.url","","","",0,1,"","","","url {[]} {[]}
","Publisher URL","URL of the publishing organization","","","","","","","","","",,,,,"",,,,"DAK.publisher.url",0,1,"",""
"DAK.translations","DAK.translations","","","",0,1,"","","","BackboneElement {[]} {[]}
","Translation configuration","Configuration for translation services and target languages","","","","","","","","","",,,,,"",,,,"DAK.translations",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.translations.id","DAK.translations.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.translations.extension","DAK.translations.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.modifierExtension","DAK.translations.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.sourceLanguage","DAK.translations.sourceLanguage","","","",1,1,"","","","code {[]} {[]}
","Source language BCP-47 code","BCP-47 code of the source language (e.g. en)","","","","","","","","","",,,,,"",,,,"DAK.translations.sourceLanguage",1,1,"",""
"DAK.translations.languages","DAK.translations.languages","","","",0,*,"","","","BackboneElement {[]} {[]}
","Target language entries","List of target languages for translation","","","","","","","","","",,,,,"",,,,"DAK.translations.languages",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.translations.languages.id","DAK.translations.languages.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.translations.languages.extension","DAK.translations.languages.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.languages.modifierExtension","DAK.translations.languages.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.languages.code","DAK.translations.languages.code","","","",1,1,"","","","code {[]} {[]}
","BCP-47 / ISO 639-1 language code","Language code for the target language","","","","","","","","","",,,,,"",,,,"DAK.translations.languages.code",1,1,"",""
"DAK.translations.languages.name","DAK.translations.languages.name","","","",1,1,"","","","string {[]} {[]}
","Human-readable language name","Display name of the target language","","","","","","","","","",,,,,"",,,,"DAK.translations.languages.name",1,1,"",""
"DAK.translations.languages.direction","DAK.translations.languages.direction","","","",1,1,"","","","code {[]} {[]}
","Text direction: ltr | rtl","Text direction for the target language","","","","","","","","","",,,,,"",,,,"DAK.translations.languages.direction",1,1,"",""
"DAK.translations.languages.plural","DAK.translations.languages.plural","","","",0,1,"","","","string {[]} {[]}
","Gettext plural form expression","Plural form expression for the target language","","","","","","","","","",,,,,"",,,,"DAK.translations.languages.plural",0,1,"",""
"DAK.translations.services","DAK.translations.services","","","",0,1,"","","","BackboneElement {[]} {[]}
","Enabled translation services","Configuration for external translation platforms","","","","","","","","","",,,,,"",,,,"DAK.translations.services",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.translations.services.id","DAK.translations.services.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.translations.services.extension","DAK.translations.services.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.modifierExtension","DAK.translations.services.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.weblate","DAK.translations.services.weblate","","","",0,1,"","","","BackboneElement {[]} {[]}
","Weblate configuration","Configuration for the Weblate translation service","","","","","","","","","",,,,,"",,,,"DAK.translations.services.weblate",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.translations.services.weblate.id","DAK.translations.services.weblate.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.translations.services.weblate.extension","DAK.translations.services.weblate.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.weblate.modifierExtension","DAK.translations.services.weblate.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.weblate.enabled","DAK.translations.services.weblate.enabled","","","",1,1,"","","","boolean {[]} {[]}
","Is Weblate enabled?","Whether Weblate integration is active","","","","","","","","","",,,,,"",,,,"DAK.translations.services.weblate.enabled",1,1,"",""
"DAK.translations.services.weblate.url","DAK.translations.services.weblate.url","","","",0,1,"","","","url {[]} {[]}
","Weblate base URL","Base URL for the Weblate instance","","","","","","","","","",,,,,"",,,,"DAK.translations.services.weblate.url",0,1,"",""
"DAK.translations.services.launchpad","DAK.translations.services.launchpad","","","",0,1,"","","","BackboneElement {[]} {[]}
","Launchpad configuration","Configuration for the Launchpad translation service","","","","","","","","","",,,,,"",,,,"DAK.translations.services.launchpad",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.translations.services.launchpad.id","DAK.translations.services.launchpad.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.translations.services.launchpad.extension","DAK.translations.services.launchpad.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.launchpad.modifierExtension","DAK.translations.services.launchpad.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.launchpad.enabled","DAK.translations.services.launchpad.enabled","","","",1,1,"","","","boolean {[]} {[]}
","Is Launchpad enabled?","Whether Launchpad integration is active","","","","","","","","","",,,,,"",,,,"DAK.translations.services.launchpad.enabled",1,1,"",""
"DAK.translations.services.crowdin","DAK.translations.services.crowdin","","","",0,1,"","","","BackboneElement {[]} {[]}
","Crowdin configuration","Configuration for the Crowdin translation service","","","","","","","","","",,,,,"",,,,"DAK.translations.services.crowdin",0,1,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
"
"DAK.translations.services.crowdin.id","DAK.translations.services.crowdin.id","","","",0,1,"","","","string {[]} {[]}
","Unique id for inter-element referencing","Unique id for the element within a resource (for internal references). This may be any string value that does not contain spaces.","","","","","","","","","",,,,,"",,,,"Element.id",0,1,"",""
"DAK.translations.services.crowdin.extension","DAK.translations.services.crowdin.extension","","extensions
user content","",0,*,"","","","Extension {[]} {[]}
","Additional content defined by implementations","May be used to represent additional information that is not part of the basic definition of the element. To make the use of extensions safe and manageable, there is a strict set of governance  applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension.","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","","","","","","","","",,,,,"","value:url}
","Extensions are always sliced by (at least) url",,"open","Element.extension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.crowdin.modifierExtension","DAK.translations.services.crowdin.modifierExtension","","extensions
user contentmodifiers","",0,*,"","Y","Y","Extension {[]} {[]}
","Extensions that cannot be ignored even if unrecognized","May be used to represent additional information that is not part of the basic definition of the element and that modifies the understanding of the element in which it is contained and/or the understanding of the containing element's descendants. Usually modifier elements provide negation or qualification. To make the use of extensions safe and manageable, there is a strict set of governance applied to the definition and use of extensions. Though any implementer can define an extension, there is a set of requirements that SHALL be met as part of the definition of the extension. Applications processing a resource are required to check for modifier extensions.

Modifier extensions SHALL NOT change the meaning of any elements on Resource or DomainResource (including cannot change the meaning of modifierExtension itself).","There can be no stigma associated with the use of extensions by any application, project, or standard - regardless of the institution or jurisdiction that uses or defines the extensions.  The use of extensions is what allows the FHIR specification to retain a core level of simplicity for everyone.","Modifier extensions allow for extensions that *cannot* be safely ignored to be clearly distinguished from the vast majority of extensions which can be safely ignored.  This promotes interoperability by eliminating the need for implementers to prohibit the presence of extensions. For further information, see the [definition of modifier extensions](http://hl7.org/fhir/R4/extensibility.html#modifierExtension).","","","","","","","",,,,,"",,,,"BackboneElement.modifierExtension",0,*,"","ele-1:All FHIR elements must have a @value or children {hasValue() or (children().count() > id.count())}
ext-1:Must have either extensions or value[x], not both {extension.exists() != value.exists()}"
"DAK.translations.services.crowdin.enabled","DAK.translations.services.crowdin.enabled","","","",1,1,"","","","boolean {[]} {[]}
","Is Crowdin enabled?","Whether Crowdin integration is active","","","","","","","","","",,,,,"",,,,"DAK.translations.services.crowdin.enabled",1,1,"",""
"DAK.healthInterventions","DAK.healthInterventions","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/HealthInterventionsSource {[]} {[]}
","Health Interventions and Recommendations","Overview of the health interventions and WHO, regional or national recommendations included within the DAK","","","","","","","","","",,,,,"",,,,"DAK.healthInterventions",0,*,"",""
"DAK.personas","DAK.personas","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/GenericPersonaSource {[]} {[]}
","Generic Personas","Depiction of the human and system actors","","","","","","","","","",,,,,"",,,,"DAK.personas",0,*,"",""
"DAK.userScenarios","DAK.userScenarios","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/UserScenarioSource {[]} {[]}
","User Scenarios","Narratives that describe how the different personas may interact with each other","","","","","","","","","",,,,,"",,,,"DAK.userScenarios",0,*,"",""
"DAK.businessProcesses","DAK.businessProcesses","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/BusinessProcessWorkflowSource {[]} {[]}
","Generic Business Processes and Workflows","Business processes and workflows for achieving health programme objectives","","","","","","","","","",,,,,"",,,,"DAK.businessProcesses",0,*,"",""
"DAK.dataElements","DAK.dataElements","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/CoreDataElementSource {[]} {[]}
","Core Data Elements","Data elements required throughout the different points of a workflow","","","","","","","","","",,,,,"",,,,"DAK.dataElements",0,*,"",""
"DAK.decisionLogic","DAK.decisionLogic","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/DecisionSupportLogicSource {[]} {[]}
","Decision-Support Logic","Decision-support logic and algorithms to support appropriate service delivery","","","","","","","","","",,,,,"",,,,"DAK.decisionLogic",0,*,"",""
"DAK.indicators","DAK.indicators","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/ProgramIndicatorSource {[]} {[]}
","Program Indicators","Core set of indicators for decision-making, performance metrics and reporting","","","","","","","","","",,,,,"",,,,"DAK.indicators",0,*,"",""
"DAK.requirements","DAK.requirements","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/RequirementsSource {[]} {[]}
","Functional and Non-Functional Requirements","High-level list of core functions and capabilities that the system must have","","","","","","","","","",,,,,"",,,,"DAK.requirements",0,*,"",""
"DAK.testScenarios","DAK.testScenarios","","","",0,*,"","","","http://smart.who.int/base/StructureDefinition/TestScenarioSource {[]} {[]}
","Test Scenarios","Set of test scenarios to validate an implementation of the DAK","","","","","","","","","",,,,,"",,,,"DAK.testScenarios",0,*,"",""
