URL,Version,Status,OIDs,Name,Title,Description,Used
http://smart.who.int/base/CodeSystem/CDHIv1,0.2.0,active,,CDHIv1,Classification of Digital Health Interventions v1,"CodeSystem for Classification of Digital Health Interventions v1. Autogenerated from DAK artifacts",
http://smart.who.int/base/CodeSystem/CDSCv1,0.2.0,active,,CDSCv1,Classification of Digital Health System Categories v1,"CodeSystem for Classification of Digital Health System Categories v1. Autogenerated from DAK artifacts",
http://smart.who.int/base/CodeSystem/CoreDataElementType,0.2.0,active,,CoreDataElementType,Core Data Element Type,"CodeSystem for Core Data Element types - defines the type of FHIR resource that a Core Data Element references.",
http://smart.who.int/base/CodeSystem/DecisionTableActions,0.2.0,active,,DecisionTableActions,Smart Guidelines Actions (columns) for Decision Tables,"CodeSystem for Smart Guidelines Documentation Actions for Decision Tables""",
http://smart.who.int/base/CodeSystem/DocumentationSections,0.2.0,active,,DocumentationSections,Smart Guidelines Documentation Section,"CodeSystem for Smart Guidelines Documentation Section to autogenerate documentation from artifacts",
http://smart.who.int/base/CodeSystem/SGPersonaTypes,0.2.0,active,,SGPersonaTypes,SMART Guidelines Persona Types,"CodeSystem for SMART Guidelines Persona Types",
http://smart.who.int/base/CodeSystem/SGTasks,0.2.0,active,,SGTasks,SMART Guidelines Tasks,"CodeSystem for SMART Guidelines tasks which are specializations of the Business Process Modeling Notatiton (BPMN) tasks, which are included in this codesystem  See [BPMN Spectification](https://www.omg.org/spec/BPMN) for more info.  The descriptions were adapted from the [normative human readable documentation](https://www.omg.org/spec/BPMN/2.0.2/PDF).",
http://www.ilo.org/public/english/bureau/stat/isco/isco08/,0.2.0,active,,ISCO08,International Standard Classification of Occupations 2008,"ISCO-08 codes from the International Labour Organization official classification",
